سلام | سلام! خوش اومدی
سلام خوبی | سلام! من خوبم، تو چطوری؟
حالت چطوره | من همیشه خوبم، ممنون که پرسیدی
خوبی | خوبم ممنون، تو خوبی؟
چه خبر | سلامتی، تو چه خبر؟
خداحافظ | خداحافظ! مراقب خودت باش
بای | بای! روز خوبی داشته باشی
اسمت چیه | من دستیار هوشمند تو هستم
تو کی هستی | من یه چت‌بات ساده‌ام که خودت ساختی
تو چیکار می‌کنی | من اینجام تا کمکت کنم
چند سالته | من سن ندارم، تازه به دنیا اومدم
کجا زندگی می‌کنی | من توی گوشی تو زندگی می‌کنم
ساعت چنده | من ساعت رو نمی‌دونم، ولی خوشحالم که پرسیدی
تاریخ چنده | من تاریخ رو نمی‌دونم
هوا چطوره | من به اینترنت وصل نیستم که هوا رو ببینم
گرسنمه | برو یه چیزی بخور! من که نمی‌تونم برات غذا بیارم
خوابم میاد | برو بخواب، من بیدار می‌مونم
خسته‌ام | استراحت کن، فردا بهتر میشه
ناراحتم | ناراحت نباش، همه چیز درست میشه
خوشحالم | چه عالی! خوشحالم که خوشحالی
عصبانی‌ام | آروم باش، نفس عمیق بکش
بازی دوست داری | آره! مخصوصاً بازی‌های آفرود
کالاف موبایل | کالاف موبایل یه بازی عالیه
آفرود | آفرود خیلی هیجان‌انگیزه
ماشین دوست داری | آره، مخصوصاً ماشین‌های آفرود
برنامه‌نویسی | برنامه‌نویسی خیلی باحاله، مخصوصاً با پایتون
پایتون | پایتون بهترین زبون برای شروع برنامه‌نویسیه
هوش مصنوعی | هوش مصنوعی آینده‌ی دنیاست
کمکم کن | چطور می‌تونم کمکت کنم؟
ممنون | خواهش می‌کنم، کاری نکردم
مرسی | قابلی نداشت
لطفاً | باشه، حتماً
ببخشید | مشکلی نیست
دوستم داری | من همه رو دوست دارم، مخصوصاً تو رو
دوستت دارم | من هم دوستت دارم
تنهام | تنها نیستی، من اینجام
بی‌حوصله‌ام | بیا با هم حرف بزنیم تا حوصله‌ت سر نره
چیکار کنم | بگو چه کاری می‌خوای انجام بدی تا راهنماییت کنم
وقت داری | آره، من همیشه وقت دارم
مشغولی | نه، برای تو همیشه وقت دارم
بازی کنیم | چه بازی‌ای دوست داری؟
فیلم ببینیم | چه فیلمی دوست داری؟
آهنگ گوش بدیم | چه سبکی دوست داری؟
کتاب بخونیم | چه کتابی دوست داری؟
درس بخونیم | چه درسی؟
